recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
skip_existing_or_refresh_only,255.1,EverLeakProof US,everleakproof.com,Loox,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Clothing Accessories|Health & Beauty|Lingerie|Womenswear,85.71,0.65,65.1189,no,no,US,https://everleakproof.com,https://everleakproof.com/products/priority-processing | https://everleakproof.com/products/nude-rise-leakproof-underwear | https://everleakproof.com/products/black-pearl-leakproof-underwear-5-pack,yes,yes,no,yes,home_ok,,121298,150.0
maybe_join_manual_review_probe,255.0,SHEIN US,us.shein.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Childrenswear|Clothing|Clothing Accessories|Jewellery|Lingerie|Menswear|Shoes|Sportswear|Womenswear,0.00,0.00,0,yes,no,US,https://us.shein.com/,,no,no,no,no,http_403;http_403,,15920,240.0
request_to_join_p1_scrape_likely,255.0,Line in the Sand,lineinthesand.com,Judge.me,yes,yes,swim_shapewear;bottoms_denim_active;general_womenswear,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.lineinthesand.com,https://www.lineinthesand.com/products/coastal-packable-sun-hat | https://www.lineinthesand.com/products/boyshort-long-sleeve-swimsuit | https://www.lineinthesand.com/products/long-sleeve-swimsuit,no,no,no,no,home_ok,,83815,170.0
request_to_join_p1_scrape_likely,255.0,LDMA,ldmabrand.com,Okendo,yes,yes,full_bust_lingerie,Clothing,Clothing,100.00,1.27,55.947,yes,yes,US,https://www.ldmabrand.com,https://ldmabrand.com/products/heritage-sport-shorts-laguna-blue | https://ldmabrand.com/products/all-day-straight-leg-sweats-laguna-blue | https://ldmabrand.com/products/all-day-joggers-laguna-blue,no,no,no,no,home_ok,,95839,110.0
request_to_join_p1_scrape_likely,253.8,Merino Tech,merino.tech,Judge.me;Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Clothing,Clothing|Menswear|Shoes|Sportswear|Womenswear,100.00,0.69,71.5691,no,no,US,https://merino.tech/,https://merino.tech/products/merino-wool-hiking-socks-pack-of-3-army-green-sca_clone_freegift | https://merino.tech/products/mens-merino-pants-200-grey-melange | https://merino.tech/products/mens-merino-pants-200-windsor-blue | https://merino.tech/products/mens-merino-pants-200-deep-teal | https://merino.tech/products/mens-merino-pants-200-charcoal,no,no,no,no,http_200;products_json_6,,120417,145.0
request_to_join_p1_scrape_likely,250.9,IMS Shop (US),shop.ims.com,Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Clothing,Childrenswear|Clothing|Clothing Accessories|Menswear|Sportswear|Womenswear,94.44,0.60,0,no,no,US,https://shop.ims.com/,https://shop.ims.com/products/ims9mh0044-indy-500-checkered-stripe-hat | https://shop.ims.com/products/ims1cl2602-2026-indy-500-winner-felix-rosenqvist-framed-piece | https://shop.ims.com/products/ims2dy2609-2026-chase-elliott-napa-1-64 | https://shop.ims.com/products/ims2dy2624-2026-william-byron-liberty-university-1-64 | https://shop.ims.com/products/ims2dy2503-2025-brickyard-400-winner-1-64-bubba-wallace,no,no,no,no,http_200;products_json_6,,80783,145.0
request_to_join_p1_scrape_likely,250.0,Devon and Lang,devonandlang.com,Judge.me,yes,yes,full_bust_lingerie,Lingerie,Clothing|Lingerie,0.00,0.00,,no,no,US,https://devonandlang.com/,https://devonandlang.com/products/journey-boxer-brief-multi-packs-fan-faves | https://devonandlang.com/products/journey-boxer-brief-multi-packs-spring-refresh | https://devonandlang.com/products/journey-boxer-brief-moon-bunny-copy,no,no,no,no,home_ok,,126925,175.0
request_to_join_p1_scrape_likely,250.0,Berkley Clothing,berkleyclothing.com,Yotpo,yes,yes,maternity_postpartum;bottoms_denim_active;general_womenswear,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://berkleyclothing.com,https://berkleyclothing.com/products/donna-short-sleeve-tshirt-solid-white | https://berkleyclothing.com/products/donna-short-sleeve-tshirt-solid-black | https://berkleyclothing.com/products/donna-short-sleeve-tshirt-herringbone-black,no,no,no,no,home_ok,,95653,165.0
request_to_join_p1_scrape_likely,248.6,WOLACO (US),wolaco.com,Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Clothing|Menswear|Sports Equipment|Sportswear|Womenswear,82.78,0.10,41.7153,no,yes,US,https://www.wolaco.com/,https://www.wolaco.com/products/womens-core-tank-in-steel-green | https://www.wolaco.com/products/womens-core-tank-in-black-w-chrome | https://www.wolaco.com/products/womens-sprint-half-tight-in-hudson-grey-w-chrome,no,no,no,no,home_ok,,22475,145.0
request_to_join_p1_scrape_likely,248.4,Anemos Swim (US),anemosswim.com,Okendo;Loox;Yotpo,yes,yes,swim_shapewear;general_womenswear,Clothing,Clothing|Womenswear,100.00,0.17,65.4653,no,yes,US,https://anemosswim.com/,https://anemosswim.com/products/tortoise-bandeau-bikini-top-in-green-vertical-stripes | https://anemosswim.com/products/plunging-knot-wrap-dress-in-crochet-knit | https://anemosswim.com/products/gisele-maxi-dress-in-crochet-knit | https://anemosswim.com/products/l-a-button-down-wrap-midi-dress-in-stretch-cotton | https://anemosswim.com/products/hume-tank-top-in-stretch-cotton,no,no,no,no,http_200;products_json_6,,28357,140.0
