recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
do_not_prioritize_now,59.0,Sara Campbell LTD,saracampbell.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,0.45,52.3525,no,yes,US,https://www.saracampbell.com,,no,no,no,no,not_probed,,63300,20.0
do_not_prioritize_now,59.0,INDIE BLUE,theindieblue.com,unknown,no,yes,general_womenswear,Clothing,Clothing,51.88,0.18,31.6157,yes,yes,US,https://theindieblue.com,,no,no,no,no,not_probed,,74482,20.0
do_not_prioritize_now,59.0,"CYBREATH TECHNOLOGY CO., LIMITED",separatec.com,unknown,no,yes,full_bust_lingerie,Clothing,Clothing,95.24,2.21,72.4112,yes,yes,US,https://separatec.com,,no,no,no,no,not_probed,,92637,-10.0
do_not_prioritize_now,58.8,ALIGNE USA,aligne.co,unknown,no,yes,general_womenswear,Womenswear,Womenswear,18.76,0.00,8.45941,no,no,US,https://aligne.co/,,no,no,no,no,not_probed,,66610,55.0
do_not_prioritize_now,58.6,Tucketts Inc,tucketts.com,unknown,no,yes,general_womenswear,Clothing,Clothing,57.14,0.11,46.8169,yes,yes,US,https://www.tucketts.com,,no,no,no,no,not_probed,,59185,20.0
do_not_prioritize_now,58.5,Late Sunday Afternoon,latesundayafternoon.com,unknown,no,no,,Clothing,Clothing,92.68,0.75,82.5177,yes,yes,US,https://www.latesundayafternoon.com,,no,no,no,no,not_probed,,62359,0.0
do_not_prioritize_now,58.5,Daily Haute,dailyhaute.com,unknown,no,no,,Clothing,Clothing,77.27,0.90,58.3959,yes,yes,US,https://www.dailyhaute.com,,no,no,no,no,not_probed,,59447,0.0
do_not_prioritize_now,58.4,Southern Gents,s-gents.com,unknown,no,no,,Clothing,Clothing,100.00,0.67,53.2726,yes,yes,US,https://s-gents.com,,no,no,no,no,not_probed,,48585,0.0
do_not_prioritize_now,58.2,Toit Volant,toitvolant.com,unknown,no,no,,Clothing,Clothing,100.00,0.66,0,yes,yes,US,https://www.toitvolant.com/collections/new-arrivals,,no,no,no,no,not_probed,,94099,0.0
do_not_prioritize_now,58.1,AYR,ayr.com,unknown,no,no,,Clothing,Clothing,93.52,0.72,50.6288,yes,yes,US,https://www.ayr.com,,no,no,no,no,not_probed,,89331,0.0
do_not_prioritize_now,57.8,BSource,scottishkiltshop.com,unknown,no,no,,Clothing,Clothing,100.00,0.64,0,yes,yes,US,https://scottishkiltshop.com,,no,no,no,no,not_probed,,76412,0.0
do_not_prioritize_now,57.7,Surfside Supply Co.,surfsidesupply.com,unknown,no,no,,Clothing,Clothing,95.54,0.68,50.0609,yes,yes,US,https://surfsidesupply.com,,no,no,no,no,not_probed,,59213,0.0
do_not_prioritize_now,57.6,Mary Square,marysquare.com,unknown,no,yes,general_womenswear,Clothing,Clothing,74.81,0.63,44.1652,no,yes,US,https://www.marysquare.com,,no,no,no,no,not_probed,,108420,20.0
do_not_prioritize_now,57.6,Ripley Rader,ripleyraderstyle.com,unknown,no,no,,Clothing,Clothing,100.00,0.63,47.4083,yes,yes,US,https://ripleyraderstyle.com,,no,no,no,no,not_probed,,89329,0.0
do_not_prioritize_now,57.6,Collina Strada,collinastrada.com,unknown,no,no,,Clothing,Clothing,100.00,0.63,92.1959,yes,yes,US,https://collinastrada.com,,no,no,no,no,not_probed,,62361,0.0
do_not_prioritize_now,57.6,Lalage Beaumont,lalagebeaumont.com,unknown,no,yes,general_womenswear,Clothing Accessories,Clothing Accessories|Womenswear,88.00,2.12,63.2463,yes,no,GB,https://lalagebeaumont.com,,no,no,no,no,not_probed,,42798,0.0
do_not_prioritize_now,57.4,Rsscsports,rsscsports.com,unknown,no,no,,Clothing,Clothing,71.91,0.90,79.7851,yes,yes,US,https://rsscsports.com/collections/mens-classic-cycling-kit,,no,no,no,no,not_probed,,56611,0.0
do_not_prioritize_now,57.2,Volt Heat,voltheat.com,unknown,no,no,,Clothing,Clothing,100.00,0.61,61.0608,yes,yes,US,https://www.voltheat.com,,no,no,no,no,not_probed,,54715,0.0
do_not_prioritize_now,57.0,Krimson Klover,krimsonklover.com,unknown,no,yes,general_womenswear,Clothing,Clothing,47.06,0.13,34.7255,yes,yes,US,https://krimsonklover.com,,no,no,no,no,not_probed,,93473,20.0
do_not_prioritize_now,56.8,Woolly Clothing,woolly.clothing,unknown,no,no,,Clothing,Clothing,100.00,0.59,53.4436,yes,yes,US,https://www.woolly.clothing,,no,no,no,no,not_probed,,86083,0.0
do_not_prioritize_now,56.6,Joines,shopaayonline.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,0.33,56.8282,no,yes,US,https://www.shopaayonline.com,,no,no,no,no,not_probed,,97517,20.0
do_not_prioritize_now,56.4,Chopper Mill,choppermill.com,unknown,no,no,,Clothing,Clothing,100.00,0.57,60.3346,yes,yes,US,https://www.choppermill.com,,no,no,no,no,not_probed,,61809,0.0
do_not_prioritize_now,56.2,AMSALE US,amsale.com,unknown,no,yes,dresses_formal,Clothing,Clothing,100.00,0.06,65.1784,no,no,US,https://amsale.com/,,no,no,no,no,not_probed,,122116,35.0
do_not_prioritize_now,56.2,Sebastian Cruz Couture,sebastiancruzcouture.com,unknown,no,no,,Clothing,Clothing,100.00,0.56,55.4043,yes,yes,US,https://sebastiancruzcouture.com,,no,no,no,no,not_probed,,88999,0.0
do_not_prioritize_now,56.1,Adelante Made-to-Order,adelanteshoes.com,unknown,no,yes,general_womenswear,Clothing,Clothing,35.48,0.20,48.2832,yes,yes,US,https://www.adelanteshoes.com,,no,no,no,no,not_probed,,93007,20.0
do_not_prioritize_now,56.1,GELATO PIQUE,gelatopique.us,unknown,no,no,,Clothing,Clothing,98.36,0.57,54.0816,yes,yes,US,https://gelatopique.us,,no,no,no,no,not_probed,,80383,0.0
